Document,Page,Time(s),TP,FP,FN
2019_589579_200,1,6.8,0,0,0
2019_189150_200,2,13.5,8,0,0
2019_868222_200,2,23.4,2,1,0
2019_621793_200,2,14.6,6,0,0
2019_743708_200,1,15.3,0,1,0
2019_1227535_200,2,20.1,0,0,0
2019_1071888_200,1,8.2,0,0,0
2019_1304640_200,2,22.3,3,0,0
2019_703442_200,2,18.2,1,0,0
2019_615340_200,2,22.1,1,0,0
2019_62975_200,1,8.4,0,0,0
2019_509345_200,2,20.6,2,0,0
2019_52112_200,1,7.0,0,0,0
2019_913939_200,2,22.4,1,0,0
2019_491259_200,1,6.7,0,0,0
2019_663770_200,3,34.6,1,1,4
2019_30572_200,1,6.2,0,0,0
2019_1444722_200,1,6.2,0,0,0
2020_3387309_200,1,6.3,0,0,0
2020_3199198_200,1,6.3,0,0,0
2020_2216128_200,2,19.3,2,0,0
2020_2343122_200,2,13.1,6,0,0
2020_2771413_200,2,13.8,7,0,0
2020_2572922_200,2,13.6,3,0,0
2020_2352137_200,2,21.9,3,0,0
2020_2410066_200,1,6.3,0,0,0
2020_2195069_200,1,6.1,0,0,0
2020_3314863_200,1,12.2,2,0,1
2020_3517708_200,3,36.1,5,0,0
2020_2833415_200,2,20.2,1,0,0
2020_3086933_200,2,20.0,1,0,0
2020_2168112_200,2,23.3,2,0,0
2020_3478186_200,1,6.1,0,0,0
2020_3518501_200,2,26.4,1,0,1
2020_3451668_200,2,13.2,6,0,0
2020_1951518_200,2,21.7,2,0,0
2020_2725417_200,2,13.1,6,0,0
2020_2699093_200,1,6.1,0,0,0
2020_3158581_200,1,6.0,0,0,0
2020_2412059_200,1,6.2,0,0,0
2021_1592415_200,1,6.2,0,0,0
2021_606770_200,1,6.2,0,0,0
2021_294527_200,1,6.4,0,0,0
2021_685943_200,1,6.2,0,0,0
2021_1007209_200,2,12.9,6,0,0
2021_681770_200,2,22.7,1,0,0
2021_888555_200,1,12.6,6,0,0
2021_1138888_200,1,6.7,0,0,0
2021_619751_200,1,6.1,0,0,0
2021_782247_200,3,37.6,6,0,0
2021_96719_200,2,13.0,6,0,0
2021_762480_200,2,20.9,2,0,0
2021_972789_200,1,7.8,2,0,0
2021_384561_200,1,6.5,0,0,0
2021_901383_200,3,37.4,3,0,1
2021_903798_200,2,15.2,6,0,0
2021_364571_200,2,14.0,3,0,0
2021_1629000_200,1,6.2,0,0,0
2021_1088080_200,2,19.8,2,1,0
2021_1176124_200,1,6.3,0,0,0
2021_1060965_200,1,6.6,0,0,0
2021_1061781_200,2,20.6,2,0,0
2022_317216_200,2,25.7,2,0,0
2022_1022901_200,1,6.4,0,0,0
2022_1202999_200,1,6.3,0,0,0
2022_847491_200,10,105.7,5,0,2
2022_881123_200,2,13.6,3,0,0
2022_590998_200,1,6.6,0,0,0
2022_831414_200,2,12.6,6,0,0
2022_877487_200,1,7.8,3,0,0
2022_370586_200,1,7.7,3,0,0
2022_1284592_200,1,8.1,2,1,0
2022_1170452_200,2,21.9,1,0,0
2022_1193753_200,3,26.8,1,0,1
2022_441205_200,2,12.9,6,0,0
2022_1029431_200,2,12.9,6,0,0
2022_1137643_200,1,6.0,0,0,0
2022_620769_200,1,6.5,0,0,0
2022_218519_200,3,30.5,1,0,0
2022_711977_200,2,13.0,6,0,0
2022_937030_200,2,14.6,3,0,0
2022_1387847_200,1,6.4,0,0,0
2022_1041627_200,2,16.7,6,0,0
2022_147764_200,1,7.2,0,0,0
2023_73413_200,2,13.0,5,0,0
2023_5061_200,1,6.8,0,0,0
2023_15993_200,1,6.1,0,0,0
2023_42267_200,2,18.9,1,1,0
2023_58017_200,2,21.3,0,0,0
2023_34420_200,1,7.1,0,0,0
2023_72403_200,1,7.9,3,0,0
2023_42200_200,1,8.2,3,0,0
2023_56381_200,2,12.9,3,0,0
2023_19385_200,1,6.7,0,0,0
2023_59936_200,1,6.7,0,0,0
2023_38351_200,2,12.7,3,0,0
2023_11713_200,2,19.3,0,0,0
2023_37484_200,2,12.6,3,0,0
2023_72893_200,2,13.4,6,0,0
2023_27770_200,2,22.8,2,1,0
2023_12562_200,1,6.5,0,0,0
2023_62529_200,2,15.5,8,0,0
2023_45639_200,2,24.4,2,2,0
2023_73325_200,2,13.0,6,0,0
2023_18713_200,1,10.0,0,0,0
2023_37315_200,2,15.1,3,0,0
1980_3919_23,2,18.5,0,0,0
1980_1442_30,2,15.7,0,0,0
1980_9219_51,2,17.7,4,0,0
1980_5963_78,2,14.2,1,0,0
1980_24275_105,2,12.5,0,0,0
1980_728_6,3,18.8,0,0,0
1980_619_29,2,13.2,2,0,0
1980_3263_22,2,14.2,0,0,0
1980_2959_71,2,15.3,0,1,0
1980_2672_70,2,13.5,0,0,4
1980_8144_51,2,16.8,0,0,0
1980_17754_105,3,34.5,1,0,0
1981_24534_106,2,16.8,0,0,0
1981_302143_97,2,17.7,2,2,2
1981_4139_15,2,17.4,2,0,0
1981_13706_102,2,12.3,1,0,0
1981_4725_44,2,12.4,0,0,0
1981_9546_50,2,14.1,0,0,0
1981_4138_20,2,18.0,2,0,1
1981_408848_90,2,18.3,1,0,0
1981_405576_90,2,16.3,0,0,0
1981_4491_35,1,9.5,1,0,4
1981_509948_105,2,14.7,0,0,0
1982_22142_100,2,13.2,3,0,0
1982_6003_21,2,15.2,0,0,0
1982_11016_107,2,16.2,0,0,0
1982_9221_68,2,18.0,0,0,0
1982_2532_15,2,15.2,0,0,1
1982_16010_105,2,28.5,0,0,0
1982_862_48,2,13.9,2,0,0
1982_8251_71,2,22.1,1,1,2
1982_93_54,2,20.3,0,0,0
1982_9147_101,2,18.8,0,0,0
1982_242_10,2,12.7,0,0,0
1983_1061_31,1,9.3,3,0,0
1983_13943_50,2,16.2,2,0,0
1983_11004_6,2,14.2,3,0,0
1983_2004_41,2,17.3,0,0,0
1983_8433_87,2,17.4,0,0,0
1983_3923_26,2,15.0,2,0,1
1983_5708_64,1,8.5,1,0,1
1983_6698_61,2,15.5,0,0,0
1983_2075_45,6,41.8,3,0,0
1983_8331_74,2,16.1,0,0,0
1983_5576_90,2,14.0,0,0,0
1984_9588_17,1,6.0,0,0,0
1984_2532_53,2,14.3,1,0,0
1984_19738_101,3,25.3,1,0,0
1984_41318_105,1,11.3,5,0,0
1984_401301_97,2,11.5,0,0,0
1984_34408_100,1,8.6,2,0,0
1984_21069_107,2,14.7,0,0,0
1984_2258_82,4,36.7,0,0,0
1984_4297_8,2,15.2,0,0,0
1984_3453_26,2,12.7,2,0,0
1984_4381_107,1,11.2,0,1,1
1985_6581_60,2,15.6,2,0,0
1985_16687_100,2,14.9,1,0,0
1985_9503_105,2,16.0,2,0,0
1985_26244_106,1,9.6,1,0,0
1985_1750_75,2,15.6,2,0,0
1985_4699_8,2,13.8,0,0,0
1985_37377_105,1,11.9,0,0,1
1985_2600_37,2,15.9,1,0,2
1985_404536_90,2,16.8,2,0,0
1985_669_86,4,42.4,0,0,1
1985_1149_32,4,49.6,3,0,1
1986_29137_100,1,8.6,3,0,0
1986_61_77,2,15.1,0,0,0
1986_7079_66,2,20.0,4,1,0
1986_83697_105,2,20.2,0,0,0
1986_2732_42,2,17.7,2,0,1
1986_809_53,2,15.4,3,0,1
1986_2065_37,2,16.8,1,0,1
1986_36892_106,1,9.7,2,0,0
1986_21180_100,2,20.5,0,0,0
1986_2649_6,2,19.3,4,0,0
1986_30680_100,1,8.6,2,0,0
1987_3152_22,2,15.1,2,0,1
1987_153_86,1,9.2,2,0,0
1987_919_82,2,14.2,0,0,0
1987_301677_3,1,6.6,1,0,0
1987_100990_93,2,16.8,0,0,0
1987_104584_63,2,14.4,2,0,0
1987_6744_45,18,118.9,0,0,0
1987_46178_105,1,11.1,2,0,0
1987_303859_3,2,17.0,2,0,0
1987_3949_86,1,9.3,1,0,0
1987_146_9,2,15.8,1,0,1
1988_10640_51,2,18.8,4,0,1
1988_15578_50,2,17.5,2,0,0
1988_10482_29,2,14.7,1,0,0
1988_3811_20,2,22.0,0,0,0
1988_9783_11,2,16.4,0,0,0
1988_3199_14,1,8.2,3,0,0
1988_17025_105,4,36.3,1,0,1
1988_2720_105,2,15.5,1,0,0
1988_13127_67,2,17.6,0,0,0
1988_6827_9,1,6.8,0,0,0
1988_7142_90,2,15.3,0,0,0
1989_38719_100,2,21.8,0,0,0
1989_4192_84,2,22.7,1,0,0
1989_6270_86,2,14.1,0,0,0
1989_6628_87,1,10.2,5,0,0
1989_64_18,2,12.5,0,0,0
1989_42908_105,2,16.1,3,0,0
1989_1370_57,2,15.2,2,0,1
1989_40951_106,2,12.7,1,0,0
1989_4619_19,2,15.9,5,0,0
1989_350_69,2,20.8,0,0,0
1989_4563_39,2,18.0,2,0,0
1990_3851_60,2,17.1,1,0,0
1990_6937_90,2,25.3,1,0,0
1990_3429_55,2,13.5,0,0,0
1990_15823_91,2,23.1,1,0,1
1990_1026_52,3,23.5,0,0,0
1990_2710_68,22,184.1,0,0,0
1990_1648_61,2,16.0,2,0,1
1990_1804_15,2,11.5,0,0,0
1990_5422_65,2,16.6,0,0,0
1990_67523_105,2,14.5,1,0,0
1990_3747_107,2,14.2,0,0,0
1991_7513_50,4,33.0,0,1,1
1991_13431_105,2,19.0,3,0,1
1991_9343_67,2,14.8,0,0,0
1991_6404_86,2,12.1,0,0,0
1991_3895_3,2,16.7,0,0,0
1991_3026_79,2,13.4,3,0,0
1991_2629_21,2,14.4,0,0,0
1991_5978_11,2,19.4,2,2,2
1991_31724_105,3,28.3,0,0,2
1991_32475_106,2,15.5,0,0,0
1991_6230_22,2,20.8,0,0,3
1992_47_9,2,19.9,1,0,1
1992_2406_33,2,19.4,2,0,0
1992_15009_93,1,6.4,0,0,0
1992_2088_97,2,16.7,1,0,0
1992_3261_32,2,19.5,1,2,0
1992_5400_22,1,9.3,1,1,0
1992_48_55,2,15.2,0,0,2
1992_29430_100,2,18.2,4,0,0
1992_7783_91,4,34.8,0,3,0
1992_3185_16,2,27.2,1,0,0
1992_22477_106,2,16.0,0,0,0
1993_2633_25,2,23.5,0,0,2
1993_3412_91,3,31.2,0,0,1
1993_4719_100,2,19.0,2,0,0
1993_11198_51,2,12.1,0,0,1
1993_4876_87,11,80.4,0,0,0
1993_9949_51,2,12.6,1,0,0
1993_4418_67,4,33.0,0,0,2
1993_17429_102,2,19.7,0,0,1
1993_12063_107,2,15.1,0,0,1
1993_22329_106,2,20.5,1,0,2
1993_2179_44,2,19.3,1,1,2
1994_1733_40,2,18.4,1,0,1
1994_5911_83,2,16.7,0,0,0
1994_15253_6,2,18.8,0,0,1
1994_8918_75,2,12.8,0,0,2
1994_5542_29,2,15.7,2,0,0
1994_3647_45,2,20.3,0,0,0
1994_2166_87,2,19.3,0,1,2
1994_6304_22,2,15.6,0,0,0
1994_34080_105,2,16.7,1,0,0
1994_6934_29,6,52.6,1,0,5
1994_4854_10,2,18.8,0,0,2
1995_7226_91,12,130.3,0,0,0
1995_728_22,1,7.8,0,0,0
1995_7708_20,3,20.5,0,0,0
1995_8745_61,2,16.1,0,0,0
1995_46627_105,2,19.3,1,0,1
1995_5884_45,2,17.6,0,0,0
1995_5423_63,2,21.0,1,0,1
1995_3296_106,2,27.5,1,0,0
1995_5486_17,3,25.7,2,1,1
1995_60022_105,2,21.3,6,0,0
1995_710_84,2,15.2,0,0,0
1996_6389_78,3,32.3,2,1,0
1996_4693_11,2,19.0,2,0,0
1996_5099_63,2,15.8,0,0,0
1996_1250_85,2,21.9,1,0,0
1996_11308_91,4,40.0,2,1,0
1996_509_22,3,33.0,0,0,0
1996_3379_56,2,13.1,0,0,0
1996_4298_50,2,16.9,2,0,2
1996_3171_15,2,14.7,0,0,0
1996_2654_31,2,11.4,0,0,0
1996_5571_91,2,24.6,0,0,0
1997_1009_82,4,32.9,2,1,9
1997_10463_8,3,32.5,1,0,2
1997_925_63,2,15.2,0,0,0
1997_9088_11,2,17.5,0,0,0
1997_9036_86,2,21.7,2,0,0
1997_1648_77,4,38.7,1,0,0
1997_1620_13,2,19.0,0,0,0
1997_4140_79,4,28.2,3,0,0
1997_21446_107,2,21.0,4,0,0
1997_2936_48,2,17.0,0,0,0
1997_8105_49,9,69.5,0,0,0
1998_3150_83,5,38.5,4,1,4
1998_2768_42,4,24.7,0,0,0
1998_14040_105,3,35.7,2,1,0
1998_19231_100,1,8.0,1,0,0
1998_2051_8,2,20.1,3,0,0
1998_59449_105,3,32.1,3,0,0
1998_18039_107,2,19.8,2,0,0
1998_897_56,2,22.6,0,0,2
1998_2035_74,1,12.7,0,0,0
1998_2692_83,3,38.0,1,0,0
1998_12567_74,2,18.3,0,0,5
1999_6065_29,4,40.5,2,0,9
1999_8349_60,2,27.7,4,0,0
1999_1687_47,2,19.9,3,0,0
1999_17092_101,3,32.1,0,0,4
1999_1029_11,3,36.8,0,0,0
1999_10833_107,2,28.3,2,0,0
1999_17454_8,1,12.1,2,1,3
1999_4458_65,1,8.5,0,0,0
1999_4373_22,2,17.9,0,0,0
1999_5623_20,2,17.3,0,2,5
1999_9627_58,4,26.1,2,0,0
2000_7855_36,2,21.2,2,0,0
2000_8079_50,3,33.0,0,0,1
2000_13705_90,2,14.3,0,0,0
2000_916_71,9,63.3,4,0,1
2000_12594_100,2,22.8,3,0,1
2000_6700_45,2,18.9,1,0,1
2000_6409_72,6,57.7,2,0,0
2000_2997_33,3,32.2,2,0,1
2000_1126_45,2,16.6,0,0,0
2000_34031_100,2,26.1,1,0,0
2000_14988_91,4,39.6,3,1,0
2001_1493_18,3,31.1,2,0,0
2001_27621_105,3,32.9,1,1,5
2001_5965_105,2,22.4,1,0,0
2001_81061_105,4,40.6,4,0,2
2001_5723_78,1,11.1,0,0,2
2001_15128_90,2,27.2,4,0,0
2001_45682_105,2,21.5,1,0,1
2001_5683_2,2,17.9,0,0,0
2001_2369_15,2,20.8,2,0,1
2001_588_52,1,6.3,0,0,0
2001_12199_8,2,22.5,2,0,0
2002_12606_10,2,23.8,2,0,0
2002_2300_69,2,23.5,1,0,0
2002_6521_90,2,15.4,0,0,4
2002_6603_28,2,20.3,2,0,0
2002_7685_37,4,29.2,1,0,1
2002_9355_106,2,22.8,1,0,0
2002_28_68,2,18.0,0,0,1
2002_15747_6,2,22.2,4,0,0
2002_8171_5,2,21.7,3,0,1
2002_3582_2,2,20.3,2,0,0
2002_639_48,2,17.1,1,0,2
2003_3174_68,2,20.8,1,0,0
2003_31319_106,2,20.3,3,0,0
2003_6841_68,2,20.4,2,0,0
2003_16946_101,2,19.9,1,0,0
2003_2752_71,4,41.6,1,0,4
2003_4215_9,2,20.3,1,0,0
2003_9456_74,3,32.7,0,0,3
2003_10633_47,2,17.0,0,0,0
2003_377_79,3,32.7,0,0,6
2003_4456_60,2,19.7,2,0,0
2003_9402_86,2,19.8,3,0,0
2004_64209_105,2,21.0,1,1,0
2004_3605_23,2,16.1,1,0,3
2004_2489_11,2,15.6,0,0,0
2004_5492_55,3,25.9,6,0,0
2004_69_23,2,13.2,0,0,0
2004_6181_46,4,35.9,4,0,1
2004_57175_105,2,21.1,1,0,0
2004_12510_3,2,18.5,0,0,0
2004_6358_37,2,20.2,2,0,0
2004_922_37,2,20.0,3,0,0
2004_4967_79,2,20.1,1,0,0
2005_11430_102,6,50.4,5,1,0
2005_6039_39,2,20.7,1,0,0
2005_1242_5,2,27.8,1,0,0
2005_184492_200,2,22.9,1,0,0
2005_1410_78,2,20.2,2,0,0
2005_1149_10,2,20.1,3,0,0
2005_4650_44,2,15.6,2,0,0
2005_1847_47,2,20.3,2,0,0
2005_1304_13,2,21.2,3,0,0
2005_8770_102,6,58.3,0,0,0
2005_3180_58,3,33.2,0,0,2
2006_112451_200,2,21.6,2,0,0
2006_639114_200,2,21.6,2,0,0
2006_516457_200,2,20.5,2,0,0
2006_488284_200,2,20.0,0,0,0
2006_2146_31,2,20.3,1,0,0
2006_237314_200,2,21.2,2,0,2
2006_280834_200,2,21.1,1,0,0
2006_8746_106,1,11.7,1,0,3
2006_4379_26,2,15.6,2,0,0
2006_166040_200,2,20.5,1,0,0
2006_275111_200,2,20.5,2,0,0
2007_807050_200,3,34.6,1,0,3
2007_194479_201,2,22.6,1,0,0
2007_1003047_200,2,20.8,2,0,0
2007_620521_200,3,32.5,3,1,0
2007_711459_200,3,23.6,0,0,0
2007_321820_200,1,6.4,0,0,0
2007_1048473_200,2,18.6,0,0,0
2007_628717_200,2,14.1,0,0,0
2007_264484_200,2,21.1,1,0,0
2007_5064_201,2,27.2,0,0,1
2007_1021672_200,2,20.1,0,0,2
2008_532733_200,13,120.1,0,0,0
2008_494444_200,3,34.7,2,0,0
2008_911455_200,2,20.6,2,0,1
2008_757910_200,2,20.5,1,0,2
2008_468332_200,2,18.2,0,0,0
2008_56189_200,2,15.1,0,0,0
2008_890503_200,2,20.7,1,0,2
2008_917839_200,2,20.5,2,0,0
2008_187575_200,2,20.6,2,0,0
2008_27321_201,4,36.4,1,0,5
2008_486593_200,2,21.1,1,0,0
2009_152330_200,2,20.4,2,0,1
2009_142223_200,2,21.2,1,0,0
2009_662147_200,2,21.3,2,0,0
2009_72106_200,1,9.7,1,0,0
2009_776687_200,2,20.4,2,0,0
2009_297279_200,2,16.6,0,0,0
2009_410213_200,5,45.7,0,0,0
2009_134881_201,1,12.7,1,0,0
2009_986615_200,3,34.7,4,0,0
2009_855429_200,2,22.4,2,0,0
2009_154662_201,2,21.5,1,1,0
2010_54129_200,2,21.3,2,0,0
2010_60704_200,2,20.0,2,2,0
2010_188352_201,2,22.2,3,0,0
2010_113487_201,2,24.2,2,0,0
2010_9356_201,2,21.7,4,0,0
2010_542856_200,2,23.1,3,0,1
2010_119817_201,2,26.9,1,0,0
2010_647369_200,2,21.1,2,0,0
2010_166728_200,2,21.6,1,0,0
2010_336405_200,3,34.2,3,0,0
2010_281343_200,2,24.2,0,1,1
2011_679138_200,1,8.7,0,0,0
2011_52476_200,3,25.7,0,0,2
2011_707647_200,2,19.4,1,0,0
2011_183105_200,2,20.8,2,0,0
2011_975778_200,2,20.2,1,0,0
2011_419012_200,2,20.3,1,0,0
2011_128620_201,2,23.1,2,0,0
2011_1000586_200,2,21.0,2,1,0
2011_574_200,2,20.9,2,0,0
2011_130640_201,2,20.4,2,0,0
2011_260445_200,15,122.0,0,0,0
2012_574969_200,2,16.1,0,0,0
2012_140296_200,6,60.2,3,0,0
2012_1018542_200,3,19.7,2,0,1
2012_234300_200,6,60.9,3,0,0
2012_124170_201,1,12.4,0,0,1
2012_779776_200,2,22.4,1,0,0
2012_895084_200,4,36.7,3,0,0
2012_137428_201,2,25.0,2,1,0
2012_88969_200,2,20.5,0,1,0
2012_1001637_200,2,18.3,1,0,1
2012_394845_200,2,17.8,2,0,0
2013_128894_200,4,45.8,3,0,0
2013_99857_200,2,20.2,2,0,0
2013_203794_200,2,20.2,2,0,0
2013_255366_200,2,21.3,1,0,3
2013_134506_201,3,24.2,2,0,0
2013_14241_201,2,21.4,1,1,0
2013_372491_200,2,18.1,0,0,2
2013_271128_200,2,20.5,1,0,0
2013_171021_200,2,20.7,2,0,0
2013_866884_200,2,21.4,4,0,1
2013_161072_200,19,148.5,0,0,0
2014_525669_200,2,20.9,1,0,0
2014_885599_200,6,66.6,1,0,0
2014_138317_201,2,24.2,1,0,0
2014_200497_200,1,7.8,3,0,0
2014_171393_200,2,20.7,2,0,0
2014_124626_201,2,26.3,1,0,0
2014_60086_200,2,20.5,1,0,0
2014_14700_200,2,13.0,3,0,0
2014_283262_200,6,62.7,3,0,1
2014_847005_200,3,37.5,1,0,0
2014_1035931_200,2,21.8,2,0,0
2015_217327_201,2,20.5,2,0,0
2015_354875_200,4,49.9,4,0,0
2015_223046_200,26,287.0,0,0,0
2015_815548_200,2,20.7,1,0,0
2015_80453_201,2,19.5,1,0,0
2015_49756_200,3,36.0,1,0,1
2015_1071764_200,2,20.6,2,0,0
2015_717721_200,2,20.8,0,0,0
2015_144684_200,2,21.1,1,0,1
2015_103696_201,2,24.5,1,0,0
2015_926163_200,2,22.1,0,0,2
2016_1145522_200,2,21.0,0,0,0
2016_180011_201,2,23.7,1,0,0
2016_403323_200,1,8.7,6,0,0
2016_673502_200,1,8.8,6,0,0
2016_115796_200,2,20.1,1,0,0
2016_756571_200,2,21.8,2,1,0
2016_445108_200,2,21.6,1,0,1
2016_765135_200,1,6.7,1,0,0
2016_81943_201,2,21.2,3,0,0
2016_890868_200,2,21.8,5,0,0
2016_80037_200,2,19.3,1,0,0
2017_1416376_200,2,20.4,2,0,0
2017_181220_200,2,20.6,1,0,0
2017_205990_200,3,20.7,0,0,0
2017_979314_200,3,25.1,1,0,0
2017_573110_200,2,21.2,2,2,0
2017_28721_200,2,19.2,1,0,0
2017_410312_200,1,7.5,3,0,0
2017_1102239_200,2,21.5,4,0,2
2017_1347210_200,2,22.4,3,0,0
2017_987237_200,2,18.7,2,0,0
2017_482191_200,3,32.2,1,0,0
2018_327387_200,2,17.6,0,0,3
2018_1310224_200,2,18.7,2,0,0
2018_1209098_200,3,34.5,0,0,0
2018_1518143_200,1,8.6,0,0,0
2018_344251_200,2,18.5,2,0,0
2018_1036244_200,2,24.2,1,0,0
2018_618217_200,2,21.3,0,0,2
2018_323954_200,2,19.6,2,0,0
2018_1080729_200,2,20.3,1,0,0
2018_1068293_200,2,20.6,2,0,0
2018_1672591_200,1,8.2,2,0,0
2019_567609_200,2,13.1,6,0,0
2019_670292_200,3,36.1,1,0,1
2019_902979_200,2,21.2,2,0,1
2019_237553_200,3,32.0,3,0,0
2019_73102_200,1,7.6,1,0,0
2019_1018157_200,2,13.2,6,0,0
2019_743399_200,2,13.1,6,0,0
2019_890131_200,2,20.0,1,0,0
2019_124742_200,3,26.4,4,0,0
2019_1106901_200,2,22.0,1,0,0
2019_640103_200,2,20.5,1,0,0
2020_2857701_200,2,17.4,4,0,0
2020_2304437_200,2,19.3,1,0,0
2020_2388570_200,2,21.7,1,0,0
2020_2311645_200,2,20.6,1,2,0
2020_2042831_200,2,22.1,1,0,0
2020_3536637_200,3,35.8,3,0,0
2020_1954392_200,1,8.5,3,0,0
2020_2325605_200,2,18.8,3,0,1
2020_2021708_200,2,19.7,1,0,1
2020_2950090_200,2,20.3,1,0,1
2020_2426120_200,2,19.0,3,0,0
2021_111320_200,2,14.1,3,0,0
2021_1469472_200,2,13.0,5,0,0
2021_1119865_200,2,21.3,0,0,0
2021_90796_200,3,29.6,2,0,0
2021_817748_200,2,14.4,10,0,0
2021_1241748_200,2,16.9,6,0,0
2021_791990_200,2,21.5,4,0,0
2021_1029360_200,2,12.7,6,0,0
2021_323344_200,2,21.5,2,0,0
2021_346386_200,2,13.3,6,0,0
2021_718978_200,1,11.3,1,1,1
2022_446714_200,2,19.3,9,1,4
2022_330354_200,1,7.9,3,0,0
2022_790945_200,2,12.5,5,0,0
2022_525526_200,2,12.1,3,0,0
2022_1405477_200,2,13.2,6,0,0
2022_573461_200,2,12.5,3,0,0
2022_1206767_200,1,8.2,4,0,0
2022_156756_200,2,12.1,3,0,0
2022_1445676_200,2,21.4,1,1,0
2022_362219_200,2,22.9,2,0,0
2022_168447_200,1,7.7,3,0,0
2023_70184_200,2,13.8,6,0,0
2023_35430_200,2,13.1,6,0,0
2023_27235_200,2,14.6,10,0,0
2023_7209_200,2,12.4,3,0,0
2023_17960_200,1,8.0,3,0,0
2023_3210_200,2,20.4,2,0,0
2023_1633_200,2,19.0,0,1,0
2023_72624_200,2,13.0,6,0,0
2023_41009_200,2,67.2,0,0,3
2023_46572_200,2,24.4,1,0,0
2023_11320_200,2,22.3,0,3,0
